state/union_territory,city/town/village,year,so2,no2,pm10,pm2.5
Rajasthan,Alwar,2021,12.0,27.0,112.0,43.0
Rajasthan,Bharatpur,2021,10.0,35.0,210.0,54.0
Rajasthan,Bhiwadi,2021,24.0,39.0,204.0,110.0
Rajasthan,Chittorgargh,2021,8.0,24.0,119.0,54.0
Rajasthan,Jaipur,2021,10.0,31.0,124.0,58.0
Rajasthan,Jodhpur,2021,7.0,25.0,168.0,75.0
Rajasthan,Kota,2021,9.0,26.0,114.0,60.0
Rajasthan,Pali,2021,9.0,20.0,118.0,58.0
Rajasthan,Udaipur,2021,11.0,26.0,120.0,55.0
Sikkim,Chungthang,2021,5.0,5.0,27.0,16.0
Sikkim,Gangtok,2021,5.0,11.0,49.0,31.0
Sikkim,Mangan,2021,5.0,9.0,27.0,16.0
Sikkim,Namchi,2021,5.0,5.0,30.0,16.0
Sikkim,Pelling,2021,6.0,4.0,29.0,16.0
Sikkim,Rangpo,2021,7.0,10.0,64.0,16.0
Sikkim,Ravangla,2021,4.0,3.0,23.0,16.0
Sikkim,Singtam,2021,8.0,9.0,32.0,16.0
Tamilnadu,Chennai,2021,11.0,13.0,58.0,26.0
Tamilnadu,Coimbatore,2021,10.0,20.0,47.0,32.0
Tamilnadu,Cuddalore,2021,13.0,19.0,48.0,25.0
Tamilnadu,Dharmapuri,2021,8.0,24.0,42.0,23.0
Tamilnadu,Gummidipoondi,2021,12.0,13.0,105.0,45.0
Tamilnadu,Madurai,2021,13.0,17.0,54.0,25.0
Tamilnadu,Mettur,2021,8.0,25.0,39.0,22.0
Tamilnadu,Nagarcoil,2021,8.0,15.0,39.0,9.0
Tamilnadu,Perambalur,2021,9.0,13.0,34.0,15.0
Tamilnadu,Salem,2021,8.0,25.0,40.0,23.0
Tamilnadu,Sivagangai,2021,9.0,14.0,35.0,15.0
Tamilnadu,Trichy,2021,12.0,16.0,47.0,19.0
Tamilnadu,Theni,2021,11.0,17.0,60.0,26.0
Tamilnadu,Tiruvannamalai,2021,5.0,13.0,52.0,25.0
Tamilnadu,Tiruvarur,2021,10.0,14.0,35.0,16.0
Tamilnadu,Villupuram,2021,11.0,16.0,42.0,17.0
Tamilnadu,Tuticorin / Thoothukudi,2021,5.0,7.0,67.0,21.0
Telangana,Adilabad,2021,6.0,25.0,71.0,39.0
Telangana,Hyderabad,2021,6.0,34.0,89.0,39.0
Telangana,Karimnagar,2021,7.0,39.0,76.0,39.0
Telangana,Khammam,2021,7.0,39.0,72.0,39.0
Telangana,Kothur,2021,9.0,46.0,100.0,39.0
Telangana,Nalgonda,2021,6.0,26.0,71.0,28.0
Telangana,Nizamabad,2021,6.0,25.0,59.0,31.0
Telangana,Patencheru,2021,6.0,27.0,78.0,34.0
Telangana,Ramagundum,2021,8.0,46.0,91.0,97.0
Telangana,Sangareddy,2021,5.0,45.0,82.0,45.0
Telangana,Warangal,2021,7.0,35.0,60.0,60.0
